Time ms,TimeFrame,seq,left_pts_total,right_pts_total,left_0_x,left_0_y,right_0_x,right_0_y,min_dist_left,min_dist_right
17097.37374,284,8202,1,1,0,0,923.568,508.863,1.02762,0.00571371
17157.57576,285,8203,1,1,0,0,919.005,520.962,1.02762,0.00275915
17217.77778,286,8204,1,1,1031.7,569.378,913.237,517.815,0.00172805,0.002496
17277.9798,287,8205,1,1,1039.93,572.125,905.206,518.337,0.00157221,0.00195084
17338.18182,288,8206,1,1,1040.6,574.087,898.313,514.8,0.00148341,0.00176767
17398.38384,289,8207,1,1,1040.48,574.829,888.084,513.379,0.00153562,0.00159276
17458.58586,290,8208,1,1,1041.14,574.556,878.663,506.459,0.00148339,0.00168036
17518.78788,291,8209,1,1,1040.82,575.049,869.52,499.807,0.00139376,0.00169904
17578.9899,292,8210,1,1,1041.88,574.593,859.732,494.984,0.00129478,0.0017583
17639.19192,293,8211,1,1,1042.04,573.867,852.974,493.657,0.00134462,0.00151162
17699.39394,294,8212,1,1,1042.02,573.466,847.554,490.99,0.00143028,0.00164584
17759.59596,295,8213,1,1,1042.86,571.498,832.3,494.8,0.00161204,0.000882846
17819.79798,296,8214,1,1,1043.71,573.401,823.349,480.519,0.00134973,0.00192086
17880,297,8215,1,1,1046.42,572.346,816.002,480.262,0.00131646,0.00147947
17940.20202,298,8216,1,1,1045.55,572.234,807.756,475.446,0.00154477,0.0018201
18000.40404,299,8217,1,1,1049.85,570.995,800.527,473.121,0.00158322,0.00171456
18060.60606,300,8218,1,1,1055.51,568.739,791.174,471.469,0.00167011,0.00172445
18120.80808,301,8219,1,1,1062.57,562.487,783.94,468.255,0.0019474,0.00191058
18181.0101,302,8220,1,1,1075.55,558.586,774.745,462.346,0.00244492,0.00229174
18241.21212,303,8221,1,1,1087.64,554.449,765.304,457.907,0.0025376,0.00245724
18301.41414,304,8222,1,1,1094.63,551.098,756.012,454.492,0.0026836,0.00267763
18361.61616,305,8223,1,1,1095.63,551.21,745.722,448.865,0.00300179,0.00258746
18421.81818,306,8224,1,1,1089.54,549.941,738.505,451.989,0.00272197,0.00227685
18482.0202,307,8225,1,1,1085.16,552.25,729.202,451.233,0.00288739,0.00224831
18542.22222,308,8226,1,1,1081.41,555.56,719.344,450.68,0.0023598,0.00182255
18602.42424,309,8227,1,1,1074.99,555.844,713.527,450.723,0.00245234,0.00173005
18662.62626,310,8228,1,1,1067.95,557.223,709.884,447.987,0.00218568,0.0018816
18722.82828,311,8229,1,1,1066.39,560.532,699.221,447.393,0.00283628,0.00205257
18783.0303,312,8230,1,1,1067.29,561.269,688.694,447.43,0.002648,0.00178889
18843.23232,313,8231,1,1,0,0,677.647,443.523,1.02762,0.00216474
18903.43434,314,8232,1,1,1072.42,568.947,669.318,443.488,0.00266613,0.00179855
18963.63636,315,8233,1,1,1078.16,568.88,663.939,441.263,0.00327417,0.00185017
19023.83838,316,8234,1,1,1068.96,567.045,669.964,443.438,0.00321363,0.00240933
19084.0404,317,8235,1,1,1082.62,594.018,676.729,450.502,1.29E-06,0.00261402
19144.24242,318,8236,1,1,1078.07,562.739,686.984,453.834,0.00132548,0.00277773
